"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"SW1,SW6,SW3,SW2,SW5,SW4";"SW_Cherry_MX_1.00u_PCB";6;"SW_Push";;;
2;",,";"";3;"";;;
3;"D3,D2,D6,D1,D4,D5";"D_DO-35_SOD27_P7.62mm_Horizontal";6;"1N4148";;;
4;"U1";"XIAO-Generic-Thruhole-14P-2.54-21X17.8MM";1;"Seeed Studio XIAO SAMD21";;;
5;"SW7";"Bourns-PEC11R-4220F-S0024-0-0-0";1;"RotaryEncoder_Switch";;;
