"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"OLED1";"OLED-TH_L38.0-W12.0_HS91L02W2C01";1;"HS91L02W2C01";;;
2;"D15,D14,D13";"LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm";3;"SK6812MINI";;;
3;"SW14,SW13,SW15";"RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm_CircularMountingHoles";3;"RotaryEncoder_Switch";;;
4;"U1";"XIAO-RP2040-DIP";1;"XIAO-RP2040-DIP";;;
5;"D9,D5,D12,D11,D10,D7,D3,D6,D1,D8,D2,D4";"D_DO-35_SOD27_P7.62mm_Horizontal";12;"D";;;
6;"SW5,SW1,SW9,SW8,SW10,SW3,SW7,SW12,SW6,SW4,SW11,SW2";"SW_Kailh_Choc_V2_1.00u";12;"SW_Push";;;
7;"U2";"SOIC-28W_7.5x17.9mm_P1.27mm";1;"MCP23017_SO";;;
8;"R2,R1";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";2;"4.7k";;;
