D1:1
D10:1
D11:1
D12:1
D13:1
D14:1
D15:1
D16:1
D17:1
D19:1
D2:1
D20:1
D21:1
D22:1
D23:1
D24:1
D26:1
D29:1
D3:1
D30:1
D31:1
D5:1
D6:1
D7:1
D8:1
D9:1
S1:1
S10:1
S11:1
S12:1
S13:1
S14:1
S15:1
S16:1
S2:1
S3:1
S5:1
S6:1
S7:1
S8:1
S9:1
SW1:1
U1:1
