Designator,Footprint,Quantity,Value,LCSC Part #
"D1, D10, D11, D2, D3, D5, D6, D7, D9",Diode_DO-35,9,Diode,
J1,OLED_128x32,1,OLED_128x32,
"S1, S2, S3, S4, S5, S6, S7, S8, S9",MX_PCB_1.00u,9,Keyswitch,
SW1,Encoder_EC11_MX,1,RotaryEncoder_Switch,
U1,Seeed_XIAO_RP2040,1,MCU_Seeed_XIAO_RP2040,
