"Reference","Value","Datasheet","Footprint","Qty","DNP"
"SW1,SW2,SW3,SW4,SW5,SW6","SW_Push","~","Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB","6",""
"U1","MOUDLE-SEEEDUINO-XIAO","","footprints:XIAO-Generic-Hybrid-14P-2.54-21X17.8MM","1",""
