LCSC Part Number,Manufacture Part Number,Manufacturer,Package,Customer #,Description,RoHS,Order Qty.,Min\Mult Order Qty.,Unit Price($),Ext.Price($),Product Link
C19702,CL10A106KP8NNNC,Samsung Electro-Mechanics,0603,"C1,C2,C3,C4,C5,C6,C7",10V 10uF X5R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,yes,20,20,0.0056,0.11,https://www.lcsc.com/product-detail/multilayer-ceramic-capacitors-mlcc-smd-smt_samsung-electro-mechanics-cl10a106kp8nnnc_C19702.html
C192893,SL2.1A,CoreChips,SOP-16,U2,SOP-16 USB HUB Controllers ROHS,yes,5,5,0.2625,1.31,https://www.lcsc.com/product-detail/usb-hub-controllers_corechips-sl2-1a_C192893.html
C2345,902-131A1011D10100,Jing Extension of the Electronic Co.,Plugin,"USB2,USB3,USB4,USB5",USB 2.0 1 4P Female Type-A Plugin USB Connectors ROHS,yes,10,10,0.0496,0.50,https://www.lcsc.com/product-detail/usb-connectors_jing-extension-of-the-electronic-co-902-131a1011d10100_C2345.html
C189782,U-G-04WD-W-01,Korean Hroparts Elec,Plugin,USB6,1A USB 2.0 1 Bend-in Male -40℃~+85℃ Type-A Plugin USB Connectors ROHS,yes,5,5,0.0828,0.41,https://www.lcsc.com/product-detail/usb-connectors_korean-hroparts-elec-u-g-04wd-w-01_C189782.html
