"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"Brd1,Brd4";"SSD1306-0.91-OLED-4pin-128x32";2;"SSD1306";;;
2;"R2,R1,R6,R8,R4,R5,R7,R3";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";8;"R";;;
3;"SW10,SW33,SW30,SW34,SW11,SW18,SW32,SW2,SW23,SW15,SW36,SW24,SW12,SW13,SW1,SW19,SW8,SW14,SW16,SW26,SW22,SW7,SW25,SW42,SW21,SW29,SW35,SW9,SW3,SW20,SW6,SW37,SW17,SW28,SW27,SW4,SW39,SW40,SW38,SW41,SW5,SW31";"SW_Cherry_MX_PCB_1.00u";42;"SW_Push";;;
4;"J1,J2";"USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A";2;"USB_C_Receptacle_USB2.0_16P";;;
5;"D38,D7,D31,D39,D27,D37,D15,D32,D8,D40,D21,D61,D2,D33,D17,D10,D9,D62,D34,D4,D6,D18,D1,D12,D19,D30,D5,D20,D3,D63,D28,D13,D16,D11,D14,D36,D26,D41,D42,D29,D35,D25";"D_DO-35_SOD27_P7.62mm_Horizontal";42;"D";;;
6;"C36,C18,C25,C4,C27,C6,C34,C11,C26,C7,C10,C12,C30,C21,C13,C29,C37,C15,C38,C9,C35,C20,C40,C19,C8,C14,C17,C41,C3,C42,C2,C28,C5,C23,C22,C39,C16,C1,C32,C24,C33,C31";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";42;"C";;;
7;"D46,D66,D23,D80,D52,D45,D82,D72,D55,D54,D69,D49,D67,D78,D75,D84,D68,D74,D65,D47,D71,D83,D58,D81,D22,D70,D79,D53,D50,D44,D60,D57,D77,D64,D24,D56,D59,D48,D73,D51,D76,D43";"SK6812MINI-E";42;"SK6812MINI";;;
8;"U1,U2";"RPi_Pico_SMD_TH";2;"Pico";;;
