"Reference","Value","Datasheet","Footprint","Qty","DNP"
"D1,D2,D3,D4,D5,D6,D7,D8,D9","D","~","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","9",""
"J1","Conn_01x04_Pin","~","ScottoKeebs_Components:OLED_128x64","1",""
"SW1,SW2,SW3,SW4,SW5,SW6,SW7,SW8,SW9","SW_Push_45deg","~","ScottoKeebs_MX:MX_PCB_1.00u","9",""
"SW11","RotaryEncoder_Switch","~","Rotary_Encoder:RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm_MountingHoles","1",""
"U1","XIAO-RP2040-DIP","","OPL:XIAO-RP2040-DIP","1",""
